"BLeft","timeCount"
18,347.0
18,348.0
18,349.0
18,350.0
18,351.0
18,352.0
18,353.0
18,354.0
18,355.0
18,356.0
18,357.0
18,358.0
17,359.0
17,360.0
16,361.0
16,362.0
16,363.0
16,364.0
16,365.0
16,366.0
16,367.0
16,368.0
16,369.0
16,370.0
16,371.0
16,372.0
16,373.0
16,374.0
16,375.0
16,376.0
16,377.0
16,378.0
16,379.0
16,380.0
16,381.0
16,382.0
16,383.0
16,384.0
16,385.0
16,386.0
16,387.0
16,388.0
16,389.0
16,390.0
16,391.0
16,392.0
16,393.0
16,394.0
15,395.0
15,396.0
15,397.0
15,398.0
15,399.0
15,400.0
15,401.0
15,402.0
15,403.0
15,404.0
15,405.0
15,406.0
15,407.0
15,408.0
15,409.0
15,410.0
14,411.0
14,412.0
14,413.0
14,414.0
14,415.0
14,416.0
14,417.0
14,418.0
14,419.0
14,420.0
14,421.0
14,422.0
14,423.0
14,424.0
14,425.0
14,426.0
14,427.0
13,428.0
13,429.0
13,430.0
13,431.0
13,432.0
13,433.0
13,434.0
13,435.0
13,436.0
13,437.0
13,438.0
13,439.0
13,440.0
13,441.0
13,442.0
13,443.0
13,444.0
13,445.0
13,446.0
13,447.0
13,448.0
13,449.0
13,450.0
13,451.0
13,452.0
13,453.0
13,454.0
13,455.0
13,456.0
13,457.0
13,458.0
13,459.0
13,460.0
13,461.0
13,462.0
12,463.0
12,464.0
12,465.0
12,466.0
11,467.0
11,468.0
11,469.0
11,470.0
11,471.0
11,472.0
11,473.0
11,474.0
11,475.0
11,476.0
11,477.0
11,478.0
11,479.0
11,480.0
11,481.0
11,482.0
10,483.0
10,484.0
10,485.0
10,486.0
10,487.0
10,488.0
10,489.0
10,490.0
10,491.0
10,492.0
10,493.0
10,494.0
10,495.0
10,496.0
10,497.0
10,498.0
10,499.0
10,500.0
10,501.0
10,502.0
10,503.0
10,504.0
10,505.0
10,506.0
10,507.0
10,508.0
10,509.0
10,510.0
10,511.0
10,512.0
10,513.0
10,514.0
10,515.0
10,516.0
10,517.0
10,518.0
10,519.0
10,520.0
10,521.0
9,522.0
8,523.0
8,524.0
8,525.0
8,526.0
8,527.0
8,528.0
8,529.0
8,530.0
8,531.0
8,532.0
8,533.0
8,534.0
8,535.0
8,536.0
8,537.0
8,538.0
8,539.0
8,540.0
8,541.0
8,542.0
8,543.0
8,544.0
8,545.0
8,546.0
8,547.0
8,548.0
8,549.0
8,550.0
8,551.0
8,552.0
8,553.0
8,554.0
8,555.0
8,556.0
8,557.0
8,558.0
8,559.0
8,560.0
8,561.0
8,562.0
8,563.0
7,564.0
7,565.0
7,566.0
7,567.0
7,568.0
7,569.0
7,570.0
7,571.0
7,572.0
7,573.0
7,574.0
7,575.0
7,576.0
7,577.0
7,578.0
7,579.0
7,580.0
7,581.0
7,582.0
7,583.0
7,584.0
7,585.0
7,586.0
7,587.0
7,588.0
7,589.0
7,590.0
7,591.0
7,592.0
7,593.0
7,594.0
7,595.0
7,596.0
7,597.0
7,598.0
7,599.0
7,600.0
7,601.0
6,602.0
6,603.0
6,604.0
6,605.0
6,606.0
6,607.0
6,608.0
6,609.0
6,610.0
5,611.0
5,612.0
5,613.0
5,614.0
5,615.0
5,616.0
5,617.0
5,618.0
5,619.0
5,620.0
5,621.0
5,622.0
5,623.0
5,624.0
5,625.0
5,626.0
5,627.0
5,628.0
4,629.0
4,630.0
4,631.0
4,632.0
4,633.0
4,634.0
4,635.0
4,636.0
4,637.0
4,638.0
4,639.0
4,640.0
4,641.0
4,642.0
4,643.0
3,644.0
3,645.0
3,646.0
3,647.0
3,648.0
3,649.0
3,650.0
3,651.0
3,652.0
3,653.0
3,654.0
3,655.0
3,656.0
3,657.0
3,658.0
3,659.0
3,660.0
3,661.0
3,662.0
3,663.0
3,664.0
3,665.0
3,666.0
3,667.0
3,668.0
3,669.0
3,670.0
3,671.0
3,672.0
3,673.0
3,674.0
3,675.0
3,676.0
3,677.0
3,678.0
3,679.0
3,680.0
3,681.0
3,682.0
3,683.0
3,684.0
3,685.0
3,686.0
3,687.0
3,688.0
3,689.0
3,690.0
3,691.0
3,692.0
3,693.0
3,694.0
3,695.0
3,696.0
3,697.0
3,698.0
3,699.0
3,700.0
3,701.0
3,702.0
3,703.0
3,704.0
3,705.0
3,706.0
2,707.0
2,708.0
2,709.0
2,710.0
2,711.0
2,712.0
2,713.0
2,714.0
2,715.0
2,716.0
2,717.0
2,718.0
2,719.0
2,720.0
2,721.0
2,722.0
2,723.0
2,724.0
2,725.0
1,726.0
1,727.0
1,728.0
1,729.0
1,730.0
1,731.0
1,732.0
1,733.0
1,734.0
1,735.0
1,736.0
1,737.0
1,738.0
1,739.0
1,740.0
1,741.0
1,742.0
1,743.0
1,744.0
1,745.0
0,746.0
0,747.0
0,748.0
0,749.0
0,750.0
0,751.0
0,752.0
0,753.0
0,754.0
0,755.0
0,756.0
0,757.0
0,758.0
0,759.0
0,760.0
0,761.0
0,762.0
0,763.0
0,764.0
0,765.0
0,766.0
0,767.0
0,768.0
0,769.0
0,770.0
0,771.0
0,772.0
0,773.0
0,774.0
0,775.0
0,776.0
0,777.0
0,778.0
0,779.0
0,780.0
0,781.0
0,782.0
0,783.0
0,784.0
0,785.0
0,786.0
0,787.0
0,788.0
0,789.0
0,790.0
0,791.0
0,792.0
0,793.0
0,794.0
0,795.0
0,796.0
0,797.0
0,798.0
0,799.0
0,800.0
0,801.0
0,802.0
0,803.0
0,804.0
0,805.0
0,806.0
0,807.0
0,808.0
0,809.0
0,810.0
0,811.0
0,812.0
0,813.0
0,814.0
0,815.0
0,816.0
0,817.0
0,818.0
0,819.0
0,820.0
0,821.0
0,822.0
0,823.0
0,824.0
0,825.0
0,826.0
0,827.0
0,828.0
0,829.0
0,830.0
0,831.0
0,832.0
0,833.0
0,834.0
0,835.0
0,836.0
0,837.0
0,838.0
0,839.0
0,840.0
0,841.0
0,842.0
0,843.0
0,844.0
0,845.0
0,846.0
0,847.0
0,848.0
0,849.0
0,850.0
0,851.0
0,852.0
0,853.0
0,854.0
0,855.0
0,856.0
0,857.0
0,858.0
0,859.0
0,860.0
0,861.0
0,862.0
0,863.0
0,864.0
0,865.0
0,866.0
0,867.0
0,868.0
0,869.0
0,870.0
0,871.0
0,872.0
0,873.0
0,874.0
0,875.0
0,876.0
0,877.0
0,878.0
0,879.0
0,880.0
0,881.0
0,882.0
0,883.0
0,884.0
