"timestamp","killedDaughter"
1.0,441
2.0,419
3.0,391
4.0,347
5.0,297
6.0,271
7.0,315
8.0,321
9.0,297
10.0,305
11.0,295
12.0,308
13.0,324
14.0,313
15.0,314
16.0,327
17.0,305
18.0,230
19.0,227
20.0,212
21.0,202
22.0,246
23.0,216
24.0,220
25.0,234
26.0,223
27.0,231
28.0,251
29.0,230
30.0,239
31.0,238
32.0,214
33.0,218
34.0,221
35.0,204
36.0,205
37.0,199
38.0,191
39.0,200
40.0,192
41.0,178
42.0,176
43.0,161
44.0,170
45.0,152
46.0,147
47.0,164
48.0,161
49.0,145
50.0,137
51.0,134
52.0,121
53.0,120
54.0,121
55.0,118
56.0,109
57.0,117
58.0,123
59.0,105
60.0,121
61.0,109
62.0,122
63.0,127
64.0,129
65.0,125
66.0,125
67.0,119
68.0,131
69.0,124
70.0,124
71.0,103
72.0,88
73.0,73
74.0,77
75.0,69
76.0,96
77.0,100
78.0,105
79.0,85
80.0,79
81.0,61
82.0,53
83.0,42
84.0,54
85.0,67
86.0,62
87.0,63
88.0,51
89.0,49
90.0,40
91.0,39
92.0,39
93.0,65
94.0,65
95.0,57
96.0,57
97.0,64
98.0,56
99.0,44
100.0,27
101.0,28
102.0,26
103.0,24
104.0,30
105.0,30
106.0,32
107.0,33
108.0,29
109.0,36
110.0,36
111.0,31
112.0,26
113.0,21
114.0,21
115.0,21
116.0,21
117.0,17
118.0,17
119.0,25
120.0,24
121.0,21
122.0,19
123.0,19
124.0,18
125.0,17
126.0,18
127.0,18
128.0,18
129.0,18
130.0,19
131.0,19
132.0,19
133.0,19
134.0,19
135.0,19
136.0,19
137.0,19
138.0,19
139.0,19
140.0,19
141.0,19
142.0,19
143.0,18
144.0,18
145.0,18
146.0,18
147.0,18
148.0,18
149.0,19
150.0,18
151.0,18
152.0,18
153.0,17
154.0,17
155.0,17
156.0,17
157.0,9
158.0,8
159.0,8
160.0,8
161.0,8
162.0,8
163.0,8
164.0,8
165.0,8
166.0,8
167.0,8
168.0,8
169.0,8
170.0,8
171.0,8
172.0,7
173.0,7
174.0,7
175.0,7
176.0,7
177.0,6
178.0,7
179.0,7
180.0,7
181.0,7
182.0,7
183.0,8
184.0,8
185.0,8
186.0,8
187.0,7
188.0,7
189.0,7
190.0,7
191.0,7
192.0,7
193.0,8
194.0,8
195.0,8
196.0,8
197.0,8
198.0,8
199.0,8
200.0,8
201.0,8
202.0,8
203.0,8
204.0,8
205.0,8
206.0,8
207.0,8
208.0,8
209.0,8
210.0,8
211.0,8
212.0,8
213.0,8
214.0,8
215.0,8
216.0,8
217.0,8
218.0,8
219.0,8
220.0,8
221.0,8
222.0,8
223.0,8
224.0,8
225.0,8
226.0,8
227.0,8
228.0,8
229.0,8
230.0,8
231.0,8
232.0,8
233.0,8
234.0,8
235.0,8
236.0,8
237.0,8
238.0,8
239.0,8
240.0,8
241.0,8
242.0,8
243.0,8
244.0,8
245.0,8
246.0,8
247.0,8
248.0,8
249.0,8
250.0,8
251.0,8
252.0,8
253.0,8
254.0,8
255.0,8
256.0,8
257.0,7
258.0,7
259.0,7
260.0,7
261.0,7
262.0,7
263.0,8
264.0,8
265.0,8
266.0,7
267.0,7
268.0,7
269.0,7
270.0,6
271.0,6
272.0,6
273.0,6
274.0,6
275.0,6
276.0,7
277.0,7
278.0,7
279.0,7
280.0,7
281.0,6
282.0,6
283.0,6
284.0,6
285.0,6
286.0,6
287.0,6
288.0,6
289.0,6
290.0,6
291.0,6
292.0,6
293.0,6
294.0,6
295.0,6
296.0,6
297.0,6
298.0,6
299.0,5
300.0,2
301.0,2
302.0,2
303.0,2
304.0,2
305.0,2
306.0,6
307.0,6
308.0,6
309.0,6
310.0,6
311.0,6
312.0,6
313.0,6
314.0,6
315.0,6
316.0,6
317.0,6
318.0,6
319.0,6
320.0,6
321.0,6
322.0,6
323.0,6
324.0,6
325.0,5
326.0,5
327.0,5
328.0,5
329.0,5
330.0,5
331.0,6
332.0,6
333.0,6
334.0,6
335.0,6
336.0,6
337.0,6
338.0,6
339.0,6
340.0,6
341.0,6
342.0,6
343.0,6
344.0,6
345.0,6
346.0,6
347.0,6
348.0,6
349.0,6
350.0,6
351.0,6
352.0,6
353.0,6
354.0,6
355.0,6
356.0,6
357.0,6
358.0,6
359.0,6
360.0,6
361.0,6
362.0,6
363.0,6
364.0,6
365.0,6
366.0,6
367.0,6
368.0,6
369.0,6
370.0,6
371.0,6
372.0,6
373.0,6
374.0,6
375.0,6
376.0,6
377.0,6
378.0,6
379.0,6
380.0,6
381.0,6
382.0,6
383.0,6
384.0,6
385.0,6
386.0,6
387.0,6
388.0,6
389.0,6
390.0,6
391.0,6
392.0,6
393.0,6
394.0,6
395.0,5
396.0,5
397.0,1
398.0,1
399.0,1
400.0,1
401.0,1
402.0,0
403.0,1
404.0,1
405.0,1
406.0,1
407.0,1
408.0,1
409.0,1
410.0,1
411.0,1
412.0,1
413.0,1
414.0,1
415.0,1
416.0,1
417.0,1
418.0,1
419.0,1
420.0,1
421.0,1
422.0,1
423.0,1
424.0,1
425.0,1
426.0,1
427.0,1
428.0,1
429.0,1
430.0,1
431.0,1
432.0,1
433.0,1
434.0,1
435.0,1
436.0,1
437.0,1
438.0,1
439.0,1
440.0,1
441.0,1
442.0,0
443.0,0
444.0,0
445.0,0
446.0,0
447.0,0
448.0,0
449.0,0
450.0,0
451.0,0
452.0,0
453.0,0
454.0,0
455.0,0
456.0,0
457.0,0
458.0,0
459.0,0
460.0,0
461.0,0
462.0,0
463.0,0
464.0,0
465.0,0
466.0,0
467.0,0
468.0,0
469.0,0
470.0,0
471.0,0
472.0,0
473.0,0
474.0,0
475.0,0
476.0,0
477.0,0
478.0,0
479.0,0
480.0,0
481.0,0
482.0,0
483.0,0
484.0,0
485.0,0
486.0,0
487.0,0
488.0,0
489.0,0
490.0,0
491.0,0
492.0,0
493.0,0
494.0,0
495.0,0
496.0,0
497.0,0
498.0,0
499.0,0
500.0,0
501.0,0
502.0,0
503.0,0
504.0,0
505.0,0
506.0,0
507.0,0
508.0,0
509.0,0
510.0,0
511.0,0
512.0,0
513.0,0
514.0,0
515.0,0
516.0,0
517.0,0
518.0,0
519.0,0
520.0,0
521.0,0
522.0,0
523.0,0
524.0,0
525.0,0
526.0,0
527.0,0
528.0,0
529.0,0
530.0,0
531.0,0
532.0,0
533.0,0
534.0,0
535.0,0
536.0,0
537.0,0
538.0,0
539.0,0
540.0,0
541.0,0
542.0,0
543.0,0
544.0,0
545.0,0
546.0,0
547.0,0
548.0,0
549.0,0
550.0,0
551.0,0
552.0,0
553.0,0
554.0,0
555.0,0
556.0,0
557.0,0
558.0,0
559.0,0
560.0,0
561.0,0
562.0,0
563.0,0
564.0,0
565.0,0
566.0,0
567.0,0
568.0,0
569.0,0
570.0,0
571.0,0
572.0,0
573.0,0
574.0,0
575.0,0
576.0,0
577.0,0
578.0,0
579.0,0
580.0,0
581.0,0
582.0,0
583.0,0
584.0,0
585.0,0
586.0,0
587.0,0
588.0,0
589.0,0
590.0,0
591.0,0
592.0,0
593.0,0
594.0,0
595.0,0
596.0,0
597.0,0
598.0,0
599.0,0
600.0,0
601.0,0
602.0,0
603.0,0
604.0,0
605.0,0
606.0,0
607.0,0
608.0,0
609.0,0
610.0,0
611.0,0
612.0,0
613.0,0
614.0,0
615.0,0
616.0,0
617.0,0
618.0,0
619.0,0
620.0,0
621.0,0
622.0,0
623.0,0
624.0,0
625.0,0
626.0,0
627.0,0
628.0,0
629.0,0
630.0,0
631.0,0
632.0,0
633.0,0
634.0,0
635.0,0
636.0,0
637.0,0
638.0,0
639.0,0
640.0,0
641.0,0
642.0,0
643.0,0
644.0,0
645.0,0
646.0,0
647.0,0
648.0,0
